"BBL","Address","Zip Code","Year Built","Total Units","Residential Units","Rent Stabilized Units","Latest sale price","Sales (09/01/2022 - 09/30/2022)","Marshal Evictions (10/02/2022 - 10/31/2022)","HPD Complaints (09/01/2022 - 09/30/2022)","HPD Violations (10/02/2022 - 10/31/2022)","DOB Complaints (10/02/2022 - 10/29/2022)","DOB Violations (10/02/2022 - 10/31/2022)","ECB Violations (10/02/2022 - 10/31/2022)","DOB Permit Applications (10/02/2022 - 11/01/2022)","DOB Permit Issuances (10/02/2022 - 11/01/2022)","Litigations against landlords (09/01/2022 - 09/30/2022)","Housing Court Cases (10/02/2022 - 11/01/2022)"
"1018400012","53 West 104th Street","10025","1920","10","10","6","0","0","0","0","0","0","0","0","0","0","0","0"
"1018880043","270 Riverside Drive","10025","0","57","57","27","40000000","0","0","0","0","0","0","0","0","0","0","0"
"1018410055","56 West 106th Street","10025","1900","15","15","4","0","0","0","0","0","0","0","0","0","0","0","0"
"1012100019","127 West 79th Street","10024","1926","132","125","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1011430044","128 West 72nd Street","10023","1910","9","7","4","0","0","0","0","3","0","0","0","0","0","0","0"
"1012500018","327 West 88th Street","10024","1894","10","10","2","0","0","0","0","0","0","0","0","0","0","0","0"
"1011260005","57 West 73rd Street","10023","1885","9","9","2","0","0","0","0","0","0","0","0","0","0","0","0"
"1018630053","134 West 109th Street","10025","1900","20","20","13","0","0","0","0","0","0","0","0","0","0","0","0"
"1018910049","307 West 105th Street","10025","1900","10","10","4","0","0","0","0","0","0","0","0","0","0","0","0"
"1012260043","126 West 96th Street","10025","1910","29","29","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1018630055","138 West 109th Street","10025","1910","10","10","4","10910460","0","0","1","0","0","0","0","0","0","0","0"
"1018680044","2568 Broadway","10025","1910","34","31","9","66000000","0","0","4","2","0","0","0","0","0","0","0"
"1011450045","130 West 74th Street","10023","1891","14","14","2","0","0","0","0","0","0","0","0","0","0","0","0"
"1012520034","210 Riverside Drive","10025","1910","89","89","8","0","0","0","0","0","0","0","0","0","0","0","0"
"1011660035","2126 Broadway","10023","1927","67","62","319","0","0","0","0","0","0","0","0","0","1","0","0"
"1018390037","4 West 104th Street","10025","1987","14","14","2","0","0","0","0","0","0","0","0","0","0","0","0"
"1011230021","23 West 70th Street","10023","1892","9","9","4","7500000","0","0","0","0","0","0","0","0","0","0","0"
"1011240046","20 West 72nd Street","10023","1925","129","128","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1011260001","67 West 73rd Street","10023","1885","29","24","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1011270109","47 West 74th Street","10023","1890","10","10","4","0","0","0","0","0","0","0","0","0","0","0","0"
"1011430060","166 West 72nd Street","10023","1911","51","48","14","0","0","0","0","0","0","0","0","0","0","0","0"
"1011450007","167 West 73rd Street","10023","1910","20","20","2","0","0","0","0","0","0","0","0","0","0","0","0"
"1011450147","136 West 74th Street","10023","1891","10","10","4","0","0","0","0","0","0","0","0","0","0","0","0"
"1011580038","210 West 70th Street","10023","1924","186","185","66","133000000","0","0","0","0","0","0","0","0","0","0","0"
"1011620029","2039 Broadway","10023","1971","395","387","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1011830026","311 West 71st Street","10023","1896","9","9","2","0","0","0","0","0","0","0","0","0","0","0","0"
"1011950001","441 Columbus Avenue","10024","1905","130","125","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1011850053","329 West 76th Street","10023","1892","10","10","3","4000000","0","0","0","0","0","0","0","0","0","0","0"
