"BBL","Address","Zip Code","Year Built","Total Units","Residential Units","Rent Stabilized Units","Latest sale price","Sales (09/01/2022 - 09/30/2022)","Marshal Evictions (10/02/2022 - 10/31/2022)","HPD Complaints (09/01/2022 - 09/30/2022)","HPD Violations (10/02/2022 - 10/31/2022)","DOB Complaints (10/02/2022 - 10/29/2022)","DOB Violations (10/02/2022 - 10/31/2022)","ECB Violations (10/02/2022 - 10/31/2022)","DOB Permit Applications (10/02/2022 - 11/01/2022)","DOB Permit Issuances (10/02/2022 - 11/01/2022)","Litigations against landlords (09/01/2022 - 09/30/2022)","Housing Court Cases (10/02/2022 - 11/01/2022)"
"1011450007","167 West 73rd Street","10023","1910","20","20","2","0","0","0","0","0","0","0","0","0","0","0","0"
"1012200013","133 West 89th Street","10024","1910","15","15","0","3750","0","0","0","0","0","0","0","0","0","0","0"
"1012260045","132 West 96th Street","10025","1967","212","207","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1011717510","21 West End Avenue","10023","2013","622","616","0","0","0","0","0","0","0","0","0","0","0","0","3"
"1018630002","983 Amsterdam Avenue","10025","1920","11","10","0","2675","0","0","0","0","0","0","0","0","0","0","0"
"1018370021","20 West 102nd Street","10025","1900","123","123","0","35269981","0","0","0","0","0","0","0","0","0","0","0"
"1011717508","60 Riverside Boulevard","10069","2008","263","259","345","0","0","0","0","0","0","0","0","0","0","0","0"
"1011717509","50 Riverside Boulevard","10069","2013","277","274","54","0","0","0","0","0","0","0","0","0","0","0","0"
"1012520024","308 West 93rd Street","10025","1899","48","48","47","0","0","0","0","0","0","0","0","0","0","0","0"
"1011250002","49 West 72nd Street","10023","1930","73","69","2","0","0","0","0","0","0","0","0","0","0","0","0"
"1011820012","345 West 70th Street","10023","1910","36","36","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1011527502","243 West 60th Street","10023","2007","85","40","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1011717511","1 West End Avenue","10023","2014","374","361","116","0","0","0","2","0","0","0","0","0","0","0","0"
"1012170050","150 West 87th Street","10024","1914","41","41","4","0","0","0","0","0","0","0","0","0","0","0","0"
"1018700042","216 West 99th Street","10025","1925","25","25","22","0","0","0","0","3","0","0","0","0","0","0","0"
"1018360020","4 Manhattan Avenue","10025","1900","36","36","19","7000000","0","0","0","0","0","0","0","0","0","0","0"
"1018790041","212 West 108th Street","10025","1900","30","30","0","7780","0","0","0","0","0","0","0","0","0","0","0"
"1018440005","71 West 108th Street","10025","1900","18","18","19","0","0","0","0","0","0","0","0","0","0","0","0"
"1012420009","261 West 94th Street","10025","1921","61","61","1","0","0","0","0","0","0","0","0","0","1","0","0"
"1011710148","400 West 63rd Street","10069","2009","213","209","0","221000000","0","0","0","0","0","0","0","0","0","0","0"
"1011587506","200 West End Avenue","10023","2006","167","165","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018430003","965 Columbus Avenue","10025","1996","19","18","18","0","0","0","0","0","0","0","0","0","0","0","0"
"1011450052","150 West 74th Street","10023","1963","30","30","28","0","0","0","0","0","0","0","0","0","0","0","0"
"1018527501","808 Columbus Avenue","10025","2007","371","359","329","0","0","0","0","0","0","0","0","0","0","0","1"
"1018430004","967 Columbus Avenue","10025","1900","10","9","6","5714704","0","0","0","0","0","0","0","0","0","0","0"
"1018337507","805 Columbus Avenue","10025","2007","68","63","63","0","0","0","0","0","0","0","0","0","0","0","0"
"1018410062","933 Columbus Avenue","10025","1930","9","8","8","0","0","0","0","5","0","0","0","0","0","0","0"
"1018450014","350 Cathedral Parkway","10025","1906","35","35","36","8500000","0","0","0","0","0","0","0","0","0","0","0"
"1012020001","69 West 88th Street","10024","1983","169","169","0","12629362","0","0","0","0","0","0","0","0","0","0","0"
"1011677502","216 West 76th Street","10023","2009","89","68","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018430014","153 Manhattan Avenue","10025","1941","24","22","22","0","0","0","0","0","0","0","0","0","0","0","1"
"1018380021","50 Manhattan Avenue","10025","1925","49","49","46","15734352","0","0","9","4","0","0","0","0","0","0","0"
"1018430015","157 Manhattan Avenue","10025","1941","24","24","24","0","0","0","1","2","0","0","0","0","0","0","1"
"1018700060","260 West 99th Street","10025","1886","34","34","34","1750000","0","0","0","0","0","0","0","0","0","0","0"
"1011507504","172 West 79th Street","10024","1935","99","98","25","0","0","0","0","0","0","0","0","0","0","0","1"
"1018880067","801 West End Avenue","10025","1911","74","74","5","0","0","0","0","0","0","0","0","0","0","0","0"
"1011710063","75 West End Avenue","10023","1994","982","973","250","0","0","0","0","0","0","0","0","0","0","0","1"
"1012330001","520 West End Avenue","10024","1892","10","10","1","0","0","0","0","0","2","0","0","0","0","0","0"
"1018430016","161 Manhattan Avenue","10025","1929","24","24","18","0","0","0","3","2","0","0","0","0","0","0","0"
"1018767501","209 West 104th Street","10025","1935","46","46","5","0","0","0","1","0","0","0","0","0","0","0","0"
"1018797501","238 West 108th Street","10025","2007","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018800010","239 West 108th Street","10025","1925","37","37","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018800007","241 West 108th Street","10025","1911","40","40","2","0","0","0","0","0","0","0","0","0","0","0","0"
"1018430026","9 West 107th Street","10025","1940","12","12","12","308000","0","0","0","0","0","0","0","0","0","0","0"
"1012360010","2401 Broadway","10024","1924","79","74","51","0","0","0","0","1","0","0","0","0","0","0","0"
"1018717501","245 West 99th Street","10025","2008","71","68","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1011950054","56 West 82nd Street","10024","1886","19","19","7","0","0","0","0","0","0","0","0","0","0","0","0"
"1018640009","141 West 109th Street","10025","1974","317","317","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1011240042","12 West 72nd Street","10023","1927","153","152","7","0","0","0","0","0","1","0","0","0","0","0","0"
"1018400060","74 West 105th Street","10025","1920","10","10","10","0","0","0","0","0","0","0","0","0","0","0","0"
"1012030001","609 Columbus Avenue","10024","1971","190","188","0","1266755","0","0","0","0","0","0","0","0","0","0","0"
"1012250029","700 Columbus Avenue","10025","1968","197","190","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018630047","122 West 109th Street","10025","1900","10","10","10","0","0","0","0","4","0","0","0","0","0","0","0"
"1011430037","116 West 72nd Street","10023","1918","92","90","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1012200029","600 Columbus Avenue","10024","1986","170","166","0","0","0","0","0","0","0","0","0","0","1","0","0"
"1012000052","44 West 87th Street","10024","1892","8","7","7","2","0","0","0","0","0","0","0","0","0","0","0"
"1012490022","317 West 87th Street","10024","1927","47","47","7","0","0","0","0","0","0","0","0","0","0","0","0"
"1011710133","140 Riverside Boulevard","10069","2002","359","354","354","265650000","0","1","0","0","0","0","0","0","0","0","0"
"1018337503","392 Central Park West","10025","1960","413","413","47","0","0","0","0","0","0","0","0","0","0","0","0"
"1018420013","143 West 106th Street","10025","1920","23","20","0","5000","0","0","0","0","0","0","0","0","0","0","0"
"1018440020","200 Manhattan Avenue","10025","1890","181","181","0","75000000","0","0","2","0","0","0","0","0","0","0","0"
"1018690137","204 West 98th Street","10025","1925","20","20","20","6000000","0","0","0","0","0","0","0","0","0","0","0"
"1012250001","701 Amsterdam Avenue","10025","1967","202","199","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1018700037","206 West 99th Street","10025","1925","26","26","25","0","0","0","0","0","1","0","0","0","0","0","0"
"1018630001","981 Amsterdam Avenue","10025","1920","15","14","0","2","0","0","0","0","0","0","0","0","0","0","0"
"1011540156","247 West 63rd Street","10023","1907","47","47","14","0","0","0","0","0","0","0","0","0","0","0","0"
"1012090006","65 West 95th Street","10025","1928","71","71","3","0","0","0","1","0","0","0","0","0","0","0","0"
"1018427503","70 West 107th Street","10025","2004","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1012450088","324 West 84th Street","10024","1914","48","48","16","0","0","0","1","0","3","0","0","0","0","0","1"
