bbl,subsidized_today
1011130001,6
1011140061,1
1011147503,0
1011157501,11
1011157502,1
1011157503,28
1011160018,8
1011167501,97
1011167502,0
1011170001,11
1011170013,3
1011170014,124
1011170016,4
1011170023,5
1011170025,14
1011170029,1
1011170039,24
1011170047,12
1011170050,6
1011170051,2
1011170052,3
1011170055,12
1011180001,27
1011180009,2
1011187501,4
1011190029,1
1011200038,2
1011200041,1
1011200055,28
1011200060,8
1011200061,4
1011200140,3
1011200142,7
1011200160,1
1011210001,2
1011210002,3
1011210004,4
1011210005,1
1011210006,2
1011210007,2
1011210009,3
1011210010,2
1011210012,3
1011210013,2
1011210014,5
1011210015,6
1011210016,2
1011210017,15
1011210022,2
1011210023,1
1011210040,8
1011210041,1
1011210042,4
1011210043,2
1011210045,3
1011210047,1
1011210048,6
1011210050,1
1011210051,9
1011210052,6
1011210053,1
1011210057,2
1011210058,2
1011210059,3
1011210060,2
1011210062,4
1011210063,2
1011210064,1
1011210104,3
1011210114,2
1011210123,2
1011220001,8
1011220004,7
1011220006,1
1011220007,2
1011220008,8
1011220010,4
1011220011,4
1011220012,7
1011220013,2
1011220016,2
1011220017,3
1011220018,1
1011220019,1
1011220022,10
1011220040,10
1011220043,2
1011220047,3
1011220051,2
1011220054,2
1011220058,2
1011220059,1
1011220061,1
1011220104,4
1011220145,4
1011220157,3
1011220160,2
1011230001,1
1011230003,1
1011230004,2
1011230007,6
1011230008,1
1011230009,3
1011230011,2
1011230013,4
1011230019,4
1011230020,3
1011230021,4
1011230023,2
1011230025,5
1011230026,1
1011230038,2
1011230039,2
1011230042,8
1011230044,5
1011230047,3
1011230048,1
1011230051,3
1011230054,1
1011230056,3
1011230057,5
1011230059,8
1011230060,4
1011230061,6
1011230064,2
1011230111,1
1011230118,2
1011230123,2
1011240001,4
1011240003,11
1011240005,1
1011240011,8
1011240012,2
1011240013,12
1011240015,2
1011240019,3
1011240021,2
1011240042,14
1011240046,1
1011240050,10
1011240051,18
1011240056,13
1011240057,39
1011240059,71
1011240062,3
1011240111,5
1011240115,4
1011247501,11
1011250001,13
1011250002,4
1011250009,140
1011250024,11
1011250056,3
1011250059,3
1011250060,2
1011250061,14
1011250062,14
1011250156,2
1011257501,25
1011257502,22
1011260001,1
1011260002,1
1011260004,1
1011260005,2
1011260007,2
1011260008,1
1011260009,1
1011260014,29
1011260021,3
1011260022,2
1011260027,2
1011260028,3
1011260029,10
1011260038,5
1011260053,3
1011260055,6
1011260104,4
1011267502,6
1011267503,1
1011270001,4
1011270003,9
1011270005,5
1011270006,4
1011270007,2
1011270008,2
1011270009,1
1011270010,7
1011270014,3
1011270016,6
1011270019,7
1011270020,3
1011270021,8
1011270022,5
1011270023,5
1011270039,7
1011270040,4
1011270041,1
1011270042,5
1011270043,2
1011270044,2
1011270047,3
1011270048,2
1011270050,3
1011270051,1
1011270052,2
1011270053,7
1011270055,5
1011270057,3
1011270058,2
1011270059,3
1011270061,5
1011270109,4
1011270146,1
1011270151,2
1011270159,3
